tarih,deger=ton
2014-01-21,41610000000
2014-01-22,39470000000
2014-01-23,42460000000
2014-01-24,36950000000
2014-01-25,32935000000
2014-01-26,19300000000
2014-01-27,42990000000
2014-01-28,41295000000
2014-01-29,37640000000
2014-01-30,33710000000
2014-01-31,32640000000
2014-01-02,28840000000
2014-02-02,16835000000
2014-03-02,38270000000
2014-04-02,34190000000
2014-05-02,33795000000
2014-06-02,32640000000
2014-07-02,29150000000
2014-08-02,29470000000
2014-09-02,18775000000
2014-10-02,40915000000
2014-11-02,35085000000
2014-12-02,33965000000
2014-02-13,32710000000
2014-02-14,32885000000
2014-02-15,33590000000
2014-02-16,18150000000
2014-02-17,35110000000
2014-02-18,35850000000
2014-02-19,36595000000
2014-02-20,20725000000
2014-02-21,29170000000
2014-02-22,31165000000
2014-02-23,17570000000
2014-02-24,36385000000
2014-02-25,34850000000
2014-02-26,32090000000
2014-02-27,34380000000
2014-02-28,29045000000
2014-01-03,31575000000
2014-02-03,19730000000
2014-03-03,36690000000
2014-04-03,33545000000
2014-05-03,32225000000
2014-06-03,31545000000
2014-07-03,29670000000
2014-08-03,27935000000
2014-09-03,15755000000
2014-10-03,41885000000
2014-11-03,33675000000
2014-12-03,30795000000
2014-03-13,33650000000
2014-03-14,31055000000
2014-03-15,32345000000
2014-03-16,17580000000
2014-03-17,38490000000
2014-03-18,35575000000
2014-03-19,33400000000
2014-03-20,29750000000
2014-03-21,27010000000
2014-03-22,28835000000
2014-03-23,16685000000
2014-03-24,33180000000
2014-03-25,36030000000
2014-03-26,32600000000
2014-03-27,32885000000
2014-03-28,23025000000
2014-03-29,30015000000
2014-03-30,14610000000
2014-03-31,27335000000
2014-01-04,30515000000
2014-02-04,31800000000
2014-03-04,29825000000
2014-04-04,27595000000
2014-05-04,28475000000
2014-06-04,14530000000
2014-07-04,31485000000
2014-08-04,32270000000
2014-09-04,27775000000
2014-10-04,26705000000
2014-11-04,22965000000
2014-12-04,30980000000
2014-04-13,14610000000
2014-04-14,33015000000
2014-04-15,31975000000
2014-04-16,31270000000
2014-04-17,29755000000
2014-04-18,20750000000
2014-04-19,25860000000
2014-04-20,15700000000
2014-04-21,33570000000
2014-04-22,29960000000
2014-04-23,28385000000
2014-04-24,27820000000
2014-04-25,26120000000
2014-04-26,24650000000
2014-04-27,17290000000
2014-04-28,34235000000
2014-04-29,31270000000
2014-04-30,31660000000
2014-01-05,27510000000
2014-02-05,27280000000
2014-03-05,28855000000
2014-04-05,16885000000
2014-05-05,32980000000
2014-06-05,30825000000
